subject_name,course_name,language,absolute_course_url
Science Courses,Introduction to Physical Chemistry,English,https://www.classcentral.com/course/physicalchemistry-1456
Science Courses,Climate Change Mitigation in Developing Countries,English,https://www.classcentral.com/course/climate-change-mitigation-5054
Personal Development Courses,Presentation skills:  Effective Presentation Delivery,English,https://www.classcentral.com/course/delivery-9645
Personal Development Courses,Creative Writing: The Craft of Style,English,https://www.classcentral.com/course/craft-of-style-5621
Personal Development Courses,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,English,https://www.classcentral.com/course/negotiation-4336
Personal Development Courses,Story and Narrative Development for Video Games,English,https://www.classcentral.com/course/video-game-story-4257
Personal Development Courses,High-Impact Business Writing,English,https://www.classcentral.com/course/businesswriting-2724
Business Courses,Marketing Digital: Content & Community Manager,English,https://www.classcentral.com/course/edx-marketing-digital-content-community-manager-10386
Mathematics Courses,Statistical Learning,English,https://www.classcentral.com/course/stanford-openedx-statistical-learning-1579
Mathematics Courses,Tutorials for Complex Systems,English,https://www.classcentral.com/course/complexity-explorer-tutorials-for-complex-systems-1194
Mathematics Courses,Introduction to Probability - The Science of Uncertainty,English,https://www.classcentral.com/course/edx-introduction-to-probability-the-science-of-uncertainty-1496
Mathematics Courses,Introduction to Algebra,English,https://www.classcentral.com/course/edx-introduction-to-algebra-2526
Mathematics Courses,Bayesian Statistics,English,https://www.classcentral.com/course/bayesian-6097
Mathematics Courses,Basic Statistics,English,https://www.classcentral.com/course/basic-statistics-4312
Art & Design Courses,Cracking the Creativity Code: Discovering Ideas,English,https://www.classcentral.com/course/startup-entrepreneurship-discovering-ide-3497
Art & Design Courses,Innovation: the Fashion Industry,English,https://www.classcentral.com/course/fashion-innovation-5004
Art & Design Courses,3D Printing Applications,English,https://www.classcentral.com/course/3d-printing-applications-5986
Art & Design Courses,Physical Theatre: Exploring the Slap,English,https://www.classcentral.com/course/physical-theatre-exploring-the-slap-6096
Art & Design Courses,Introduction to UI Design,English,https://www.classcentral.com/course/ui-design-6890
Humanities Courses,How to Succeed at: Writing Applications,English,https://www.classcentral.com/course/writing-applications-2248
Humanities Courses,Teaching English: How to Plan a Great Lesson,English,https://www.classcentral.com/course/teaching-english-great-lesson-13115
Humanities Courses,HOPE: Human Odyssey to Political Existentialism,English,https://www.classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584
Humanities Courses,Exploring English: Language and Culture,English,https://www.classcentral.com/course/explore-english-language-culture-2135
Humanities Courses,Basic Spanish 1: Getting Started,English,https://www.classcentral.com/course/edx-basic-spanish-1-getting-started-3698
Humanities Courses,Introduction to Philosophy,English,https://www.classcentral.com/course/introphil-418
Programming Courses,"Programming Languages, Part A",English,https://www.classcentral.com/course/programming-languages-452
Programming Courses,JavaScript Basics,English,https://www.classcentral.com/course/udacity-javascript-basics-2660
Programming Courses,Computing in Python III: Data Structures,English,https://www.classcentral.com/course/edx-computing-in-python-iii-data-structures-11471
Programming Courses,Object Oriented Programming in Java,English,https://www.classcentral.com/course/object-oriented-java-4212
Programming Courses,Programming Mobile Applications for Android Handheld Systems: Part 2,English,https://www.classcentral.com/course/androidpart2-3076
Science Courses,Science & Cooking: From Haute Cuisine to Soft Matter Science (part 1),English,https://www.classcentral.com/course/edx-science-cooking-from-haute-cuisine-to-soft-matter-science-part-1-811
Science Courses,Quantum Mechanics: 1D Scattering and Central Potentials,English,https://www.classcentral.com/course/edx-quantum-mechanics-1d-scattering-and-central-potentials-8769
Science Courses,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",English,https://www.classcentral.com/course/edx-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron-942
Personal Development Courses,Introduction to Public Speaking,English,https://www.classcentral.com/course/public-speaking-889
Personal Development Courses,Creative Problem Solving,English,https://www.classcentral.com/course/cps-1636
Personal Development Courses,Speaking Effectively,English,https://www.classcentral.com/course/swayam-speaking-effectively-7946
Personal Development Courses,Emotional Intelligence,English,https://www.classcentral.com/course/swayam-emotional-intelligence-7980
Personal Development Courses,Establishing a Professional ‘Self’ through Effective Intercultural Communication,English,https://www.classcentral.com/course/establishing-a-professional-self-through-5541
Personal Development Courses,Successful Interviewing,English,https://www.classcentral.com/course/successful-interviewing-5473
Business Courses,Marketing in a Digital World,English,https://www.classcentral.com/course/dmdigitalworld-2750
Business Courses,Applied Scrum for Project Management,English,https://www.classcentral.com/course/edx-applied-scrum-for-project-management-11917
Business Courses,Presentation skills: Designing Presentation Slides,English,https://www.classcentral.com/course/slides-9643
Business Courses,Six Sigma: Define and Measure,English,https://www.classcentral.com/course/edx-six-sigma-define-and-measure-8450
Business Courses,Lean Production,English,https://www.classcentral.com/course/edx-lean-production-8447
Mathematics Courses,College Algebra,English,https://www.classcentral.com/course/udacity-college-algebra-630
Mathematics Courses,How to Learn Math: For Students,English,https://www.classcentral.com/course/stanford-openedx-how-to-learn-math-for-students-917
